managerID,awardID,yearID,lgID,tie,notes
larusto01m,BBWAA Manager of the year,1983,AL,,
lasorto01m,BBWAA Manager of the year,1983,NL,,
andersp01m,BBWAA Manager of the year,1984,AL,,
freyji99m,BBWAA Manager of the year,1984,NL,,
coxbo01m,BBWAA Manager of the year,1985,AL,,
herzowh01m,BBWAA Manager of the year,1985,NL,,
mcnamjo99m,BBWAA Manager of the year,1986,AL,,
lanieha01m,BBWAA Manager of the year,1986,NL,,
andersp01m,BBWAA Manager of the year,1987,AL,,
rodgebu01m,BBWAA Manager of the year,1987,NL,,
larusto01m,BBWAA Manager of the year,1988,AL,,
lasorto01m,BBWAA Manager of the year,1988,NL,,
robinfr02m,BBWAA Manager of the year,1989,AL,,
zimmedo01m,BBWAA Manager of the year,1989,NL,,
torboje01m,BBWAA Manager of the year,1990,AL,,
leylaji99m,BBWAA Manager of the year,1990,NL,,
kellyto01m,BBWAA Manager of the year,1991,AL,,
coxbo01m,BBWAA Manager of the year,1991,NL,,
larusto01m,BBWAA Manager of the year,1992,AL,,
leylaji99m,BBWAA Manager of the year,1992,NL,,
lamonge01m,BBWAA Manager of the year,1993,AL,,
bakerdu01m,BBWAA Manager of the year,1993,NL,,
showabu99m,BBWAA Manager of the year,1994,AL,,
aloufe01m,BBWAA Manager of the year,1994,NL,,
pinielo01m,BBWAA Manager of the year,1995,AL,,
baylodo01m,BBWAA Manager of the year,1995,NL,,
oatesjo01m,BBWAA Manager of the year,1996,AL,Y,
torrejo01m,BBWAA Manager of the year,1996,AL,Y,
bochybr01m,BBWAA Manager of the year,1996,NL,,
johnsda02m,BBWAA Manager of the year,1997,AL,,
bakerdu01m,BBWAA Manager of the year,1997,NL,,
torrejo01m,BBWAA Manager of the year,1998,AL,,
dierkla01m,BBWAA Manager of the year,1998,NL,,
williji03m,BBWAA Manager of the year,1999,AL,,
mckeoja99m,BBWAA Manager of the year,1999,NL,,
manueje01m,BBWAA Manager of the year,2000,AL,,
bakerdu01m,BBWAA Manager of the year,2000,NL,,
pinielo01m,BBWAA Manager of the year,2001,AL,,
bowala01m,BBWAA Manager of the year,2001,NL,,
sciosmi01m,BBWAA Manager of the year,2002,AL,,
larusto01m,BBWAA Manager of the year,2002,NL,,
penato01m,BBWAA Manager of the year,2003,AL,,
mckeoja99m,BBWAA Manager of the year,2003,NL,,
showabu99m,BBWAA Manager of the year,2004,AL,,
coxbo01m,BBWAA Manager of the year,2004,NL,,
guilloz01m,BBWAA Manager of the year,2005,AL,,
coxbo01m,BBWAA Manager of the year,2005,NL,,
leylaji99m,BBWAA Manager of the year,2006,AL,,
girarjo01m,BBWAA Manager of the year,2006,NL,,
wedgeer01m,BBWAA Manager of the year,2007,AL,,
melvibo01m,BBWAA Manager of the year,2007,NL,,
maddojo99m,BBWAA Manager of the year,2008,AL,,
pinielo01m,BBWAA Manager of the year,2008,NL,,
sciosmi01m,BBWAA Manager of the year,2009,AL,,
tracyji01m,BBWAA Manager of the year,2009,NL,,
gardero01m,BBWAA Manager of the year,2010,AL,,
blackbu02m,BBWAA Manager of the year,2010,NL,,
maddojo99m,BBWAA Manager of the year,2011,AL,,
gibsoki01m,BBWAA Manager of the year,2011,NL,,
melvibo01m,BBWAA Manager of the year,2012,AL,,
johnsda02m,BBWAA Manager of the year,2012,NL,,
mccarjo99m,TSN Manager of the Year,1936,ML,,
mckecbi01m,TSN Manager of the Year,1937,ML,,
mccarjo99m,TSN Manager of the Year,1938,ML,,
durocle01m,TSN Manager of the Year,1939,ML,,
mckecbi01m,TSN Manager of the Year,1940,ML,,
southbi01m,TSN Manager of the Year,1941,ML,,
southbi01m,TSN Manager of the Year,1942,ML,,
mccarjo99m,TSN Manager of the Year,1943,ML,,
sewellu01m,TSN Manager of the Year,1944,ML,,
bluegos01m,TSN Manager of the Year,1945,ML,,
dyered01m,TSN Manager of the Year,1946,ML,,
harribu01m,TSN Manager of the Year,1947,ML,,
meyerbi01m,TSN Manager of the Year,1948,ML,,
stengca01m,TSN Manager of the Year,1949,ML,,
rolfere01m,TSN Manager of the Year,1950,ML,,
durocle01m,TSN Manager of the Year,1951,ML,,
stanked01m,TSN Manager of the Year,1952,ML,,
stengca01m,TSN Manager of the Year,1953,ML,,
durocle01m,TSN Manager of the Year,1954,ML,,
alstowa01m,TSN Manager of the Year,1955,ML,,
tebbebi01m,TSN Manager of the Year,1956,ML,,
hutchfr01m,TSN Manager of the Year,1957,ML,,
stengca01m,TSN Manager of the Year,1958,ML,,
alstowa01m,TSN Manager of the Year,1959,ML,,
murtada01m,TSN Manager of the Year,1960,ML,,
houkra01m,TSN Manager of the Year,1961,ML,,
rignebi01m,TSN Manager of the Year,1962,ML,,
alstowa01m,TSN Manager of the Year,1963,ML,,
keanejo99m,TSN Manager of the Year,1964,ML,,
melesa01m,TSN Manager of the Year,1965,ML,,
bauerha01m,TSN Manager of the Year,1966,ML,,
willidi02m,TSN Manager of the Year,1967,ML,,
smithma01m,TSN Manager of the Year,1968,ML,,
hodgegi01m,TSN Manager of the Year,1969,ML,,
murtada01m,TSN Manager of the Year,1970,ML,,
foxch01m,TSN Manager of the Year,1971,ML,,
tannech01m,TSN Manager of the Year,1972,ML,,
mauchge01m,TSN Manager of the Year,1973,ML,,
virdobi01m,TSN Manager of the Year,1974,ML,,
johnsda01m,TSN Manager of the Year,1975,ML,,
ozarkda99m,TSN Manager of the Year,1976,ML,,
weaveea99m,TSN Manager of the Year,1977,ML,,
bambege01m,TSN Manager of the Year,1978,ML,,
weaveea99m,TSN Manager of the Year,1979,ML,,
virdobi01m,TSN Manager of the Year,1980,ML,,
martibi02m,TSN Manager of the Year,1981,ML,,
herzowh01m,TSN Manager of the Year,1982,ML,,
larusto01m,TSN Manager of the Year,1983,ML,,
freyji99m,TSN Manager of the Year,1984,ML,,
coxbo01m,TSN Manager of the Year,1985,ML,,
lanieha01m,TSN Manager of the Year,1986,NL,,
mcnamjo99m,TSN Manager of the Year,1986,AL,,
andersp01m,TSN Manager of the Year,1987,AL,,
rodgebu01m,TSN Manager of the Year,1987,NL,,
larusto01m,TSN Manager of the Year,1988,AL,,
lasorto01m,TSN Manager of the Year,1988,NL,,
leylaji99m,TSN Manager of the Year,1988,NL,,
robinfr02m,TSN Manager of the Year,1989,AL,,
zimmedo01m,TSN Manager of the Year,1989,NL,,
leylaji99m,TSN Manager of the Year,1990,NL,,
torboje01m,TSN Manager of the Year,1990,AL,,
coxbo01m,TSN Manager of the Year,1991,NL,,
kellyto01m,TSN Manager of the Year,1991,AL,,
larusto01m,TSN Manager of the Year,1992,AL,,
leylaji99m,TSN Manager of the Year,1992,NL,,
coxbo01m,TSN Manager of the Year,1993,NL,,
oatesjo01m,TSN Manager of the Year,1993,AL,,
aloufe01m,TSN Manager of the Year,1994,NL,,
showabu99m,TSN Manager of the Year,1994,AL,,
baylodo01m,TSN Manager of the Year,1995,NL,,
hargrmi01m,TSN Manager of the Year,1995,AL,,
bochybr01m,TSN Manager of the Year,1996,NL,,
oatesjo01m,TSN Manager of the Year,1996,AL,,
bakerdu01m,TSN Manager of the Year,1997,NL,,
johnsda02m,TSN Manager of the Year,1997,AL,,
bochybr01m,TSN Manager of the Year,1998,NL,,
torrejo01m,TSN Manager of the Year,1998,AL,,
coxbo01m,TSN Manager of the Year,1999,NL,,
williji03m,TSN Manager of the Year,1999,AL,,
bakerdu01m,TSN Manager of the Year,2000,NL,,
manueje01m,TSN Manager of the Year,2000,AL,,
bowala01m,TSN Manager of the Year,2001,NL,,
pinielo01m,TSN Manager of the Year,2001,AL,,
coxbo01m,TSN Manager of the Year,2002,NL,,
sciosmi01m,TSN Manager of the Year,2002,AL,,
coxbo01m,TSN Manager of the Year,2003,NL,,
penato01m,TSN Manager of the Year,2003,AL,,
coxbo01m,TSN Manager of the Year,2004,NL,,
gardero01m,TSN Manager of the Year,2004,AL,,
coxbo01m,TSN Manager of the Year,2005,NL,,
guilloz01m,TSN Manager of the Year,2005,AL,,
girarjo01m,TSN Manager of the Year,2006,NL,,
leylaji99m,TSN Manager of the Year,2006,AL,,
melvibo01m,TSN Manager of the Year,2007,NL,,
wedgeer01m,TSN Manager of the Year,2007,AL,,
