awardID,yearID,lgID,managerID,pointsWon,pointsMax,votesFirst
Mgr of the year,1983,AL,altobjo01m,7,28,7
Mgr of the year,1983,AL,coxbo01m,4,28,4
Mgr of the year,1983,AL,larusto01m,17,28,17
Mgr of the year,1983,NL,lasorto01m,10,24,10
Mgr of the year,1983,NL,lillibo01m,9,24,9
Mgr of the year,1983,NL,owenspa99m,1,24,1
Mgr of the year,1983,NL,tannech01m,4,24,4
Mgr of the year,1984,AL,andersp01m,96,140,13
Mgr of the year,1984,AL,coxbo01m,9,140,0
Mgr of the year,1984,AL,gardnbi02m,48,140,4
Mgr of the year,1984,AL,howsedi01m,95,140,11
Mgr of the year,1984,AL,mcnamjo99m,4,140,0
Mgr of the year,1984,NL,freyji99m,101,120,16
Mgr of the year,1984,NL,johnsda02m,72,120,4
Mgr of the year,1984,NL,lillibo01m,2,120,1
Mgr of the year,1984,NL,willidi02m,41,120,4
Mgr of the year,1985,AL,coxbo01m,104,140,16
Mgr of the year,1985,AL,howsedi01m,66,140,4
Mgr of the year,1985,AL,larusto01m,1,140,0
Mgr of the year,1985,AL,martibi02m,19,140,0
Mgr of the year,1985,AL,mauchge01m,57,140,8
Mgr of the year,1985,AL,mcnamjo99m,1,140,0
Mgr of the year,1985,AL,mooreja01m,4,140,0
Mgr of the year,1985,NL,herzowh01m,86,120,11
Mgr of the year,1985,NL,johnsda02m,4,120,0
Mgr of the year,1985,NL,lasorto01m,39,120,3
Mgr of the year,1985,NL,rodgebu01m,2,120,0
Mgr of the year,1985,NL,rosepe01m,85,120,10
Mgr of the year,1986,AL,corrapa01m,18,140,1
Mgr of the year,1986,AL,mauchge01m,44,140,2
Mgr of the year,1986,AL,mcnamjo99m,95,140,13
Mgr of the year,1986,AL,pinielo01m,5,140,0
Mgr of the year,1986,AL,valenbo02m,90,140,12
Mgr of the year,1986,NL,craigro01m,42,120,2
Mgr of the year,1986,NL,felskjo01m,3,120,0
Mgr of the year,1986,NL,johnsda02m,62,120,3
Mgr of the year,1986,NL,lanieha01m,108,120,19
Mgr of the year,1986,NL,leylaji99m,1,120,0
Mgr of the year,1987,AL,andersp01m,90,140,11
Mgr of the year,1987,AL,edwardo01m,1,140,0
Mgr of the year,1987,AL,kellyto01m,74,140,10
Mgr of the year,1987,AL,larusto01m,8,140,0
Mgr of the year,1987,AL,pinielo01m,1,140,0
Mgr of the year,1987,AL,trebeto99m,78,140,7
Mgr of the year,1987,NL,craigro01m,65,120,6
Mgr of the year,1987,NL,herzowh01m,54,120,5
Mgr of the year,1987,NL,johnsda02m,3,120,0
Mgr of the year,1987,NL,leylaji99m,2,120,0
Mgr of the year,1987,NL,rodgebu01m,92,120,13
Mgr of the year,1988,AL,andersp01m,37,140,3
Mgr of the year,1988,AL,fregoji01m,1,140,0
Mgr of the year,1988,AL,kellyto01m,6,140,0
Mgr of the year,1988,AL,larusto01m,103,140,15
Mgr of the year,1988,AL,morgajo01m,89,140,9
Mgr of the year,1988,AL,pinielo01m,1,140,0
Mgr of the year,1988,AL,trebeto99m,15,140,1
Mgr of the year,1988,NL,johnsda02m,38,120,2
Mgr of the year,1988,NL,lasorto01m,101,120,19
Mgr of the year,1988,NL,leylaji99m,50,120,1
Mgr of the year,1988,NL,mckeoja99m,27,120,2
Mgr of the year,1989,AL,gastoci01m,62,140,3
Mgr of the year,1989,AL,larusto01m,51,140,2
Mgr of the year,1989,AL,raderdo02m,13,140,0
Mgr of the year,1989,AL,robinfr02m,125,140,23
Mgr of the year,1989,AL,wathajo01m,1,140,0
Mgr of the year,1989,NL,craigro01m,62,120,1
Mgr of the year,1989,NL,herzowh01m,31,120,0
Mgr of the year,1989,NL,howear01m,4,120,0
Mgr of the year,1989,NL,mckeoja99m,1,120,0
Mgr of the year,1989,NL,zimmedo01m,118,120,23
Mgr of the year,1990,AL,andersp01m,12,140,0
Mgr of the year,1990,AL,gastoci01m,6,140,0
Mgr of the year,1990,AL,larusto01m,72,140,4
Mgr of the year,1990,AL,lefebji01m,1,140,0
Mgr of the year,1990,AL,morgajo01m,28,140,1
Mgr of the year,1990,AL,raderdo02m,1,140,0
Mgr of the year,1990,AL,torboje01m,128,140,23
Mgr of the year,1990,AL,valenbo02m,4,140,0
Mgr of the year,1990,NL,craigro01m,2,120,0
Mgr of the year,1990,NL,harrebu01m,2,120,0
Mgr of the year,1990,NL,lasorto01m,32,120,1
Mgr of the year,1990,NL,leylaji99m,99,120,17
Mgr of the year,1990,NL,pinielo01m,49,120,3
Mgr of the year,1990,NL,rodgebu01m,32,120,3
Mgr of the year,1991,AL,andersp01m,50,140,1
Mgr of the year,1991,AL,gastoci01m,17,140,0
Mgr of the year,1991,AL,kellyto01m,138,140,27
Mgr of the year,1991,AL,larusto01m,2,140,0
Mgr of the year,1991,AL,lefebji01m,16,140,0
Mgr of the year,1991,AL,mcraeha01m,3,140,0
Mgr of the year,1991,AL,merrist99m,1,140,0
Mgr of the year,1991,AL,morgajo01m,16,140,0
Mgr of the year,1991,AL,torboje01m,6,140,0
Mgr of the year,1991,AL,valenbo02m,3,140,0
Mgr of the year,1991,NL,coxbo01m,96,120,13
Mgr of the year,1991,NL,lasorto01m,5,120,0
Mgr of the year,1991,NL,leylaji99m,74,120,9
Mgr of the year,1991,NL,torrejo01m,41,120,2
Mgr of the year,1992,AL,garneph01m,76,140,2
Mgr of the year,1992,AL,gastoci01m,13,140,1
Mgr of the year,1992,AL,hargrmi01m,4,140,0
Mgr of the year,1992,AL,larusto01m,132,140,25
Mgr of the year,1992,AL,oatesjo01m,27,140,0
Mgr of the year,1992,NL,aloufe01m,65,120,3
Mgr of the year,1992,NL,coxbo01m,29,120,1
Mgr of the year,1992,NL,howear01m,9,120,0
Mgr of the year,1992,NL,leylaji99m,109,120,20
Mgr of the year,1992,NL,pinielo01m,4,120,0
Mgr of the year,1993,AL,gastoci01m,49,140,6
Mgr of the year,1993,AL,hargrmi01m,10,140,1
Mgr of the year,1993,AL,hobsobu01m,1,140,0
Mgr of the year,1993,AL,kenneke99m,28,140,3
Mgr of the year,1993,AL,lamonge01m,72,140,8
Mgr of the year,1993,AL,oatesjo01m,5,140,0
Mgr of the year,1993,AL,pinielo01m,24,140,3
Mgr of the year,1993,AL,showabu99m,63,140,7
Mgr of the year,1993,NL,aloufe01m,27,140,2
Mgr of the year,1993,NL,bakerdu01m,105,140,15
Mgr of the year,1993,NL,baylodo01m,1,140,0
Mgr of the year,1993,NL,coxbo01m,27,140,0
Mgr of the year,1993,NL,fregoji01m,92,140,11
Mgr of the year,1994,AL,hargrmi01m,86,140,4
Mgr of the year,1994,AL,hobsobu01m,1,140,0
Mgr of the year,1994,AL,lamonge01m,17,140,0
Mgr of the year,1994,AL,larusto01m,10,140,0
Mgr of the year,1994,AL,mcraeha01m,6,140,0
Mgr of the year,1994,AL,showabu99m,132,140,24
Mgr of the year,1994,NL,aloufe01m,138,140,27
Mgr of the year,1994,NL,bakerdu01m,1,140,0
Mgr of the year,1994,NL,baylodo01m,8,140,0
Mgr of the year,1994,NL,collite99m,31,140,0
Mgr of the year,1994,NL,coxbo01m,3,140,0
Mgr of the year,1994,NL,greenda02m,12,140,1
Mgr of the year,1994,NL,johnsda02m,51,140,0
Mgr of the year,1994,NL,lasorto01m,8,140,0
Mgr of the year,1995,AL,boonebo01m,3,140,0
Mgr of the year,1995,AL,garneph01m,4,140,0
Mgr of the year,1995,AL,hargrmi01m,71,140,8
Mgr of the year,1995,AL,kenneke99m,74,140,11
Mgr of the year,1995,AL,lachema01m,5,140,0
Mgr of the year,1995,AL,oatesjo01m,1,140,0
Mgr of the year,1995,AL,pinielo01m,86,140,9
Mgr of the year,1995,AL,showabu99m,8,140,0
Mgr of the year,1995,NL,baylodo01m,122,140,19
Mgr of the year,1995,NL,bochybr01m,1,140,0
Mgr of the year,1995,NL,collite99m,11,140,0
Mgr of the year,1995,NL,coxbo01m,20,140,1
Mgr of the year,1995,NL,greenda02m,3,140,0
Mgr of the year,1995,NL,johnsda02m,89,140,8
Mgr of the year,1995,NL,rigglji99m,6,140,0
Mgr of the year,1996,AL,bellbu01m,5,140,1
Mgr of the year,1996,AL,hargrmi01m,22,140,2
Mgr of the year,1996,AL,howear01m,3,140,0
Mgr of the year,1996,AL,johnsda02m,4,140,0
Mgr of the year,1996,AL,kellyto01m,4,140,0
Mgr of the year,1996,AL,kenneke99m,1,140,0
Mgr of the year,1996,AL,oatesjo01m,89,140,12
Mgr of the year,1996,AL,pinielo01m,35,140,3
Mgr of the year,1996,AL,torrejo01m,89,140,10
Mgr of the year,1996,NL,aloufe01m,74,140,8
Mgr of the year,1996,NL,bochybr01m,76,140,10
Mgr of the year,1996,NL,collite99m,3,140,0
Mgr of the year,1996,NL,coxbo01m,24,140,3
Mgr of the year,1996,NL,larusto01m,69,140,7
Mgr of the year,1996,NL,russebi01m,6,140,0
Mgr of the year,1997,AL,bellbu01m,50,140,4
Mgr of the year,1997,AL,collite99m,24,140,4
Mgr of the year,1997,AL,garneph01m,42,140,5
Mgr of the year,1997,AL,hargrmi01m,13,140,2
Mgr of the year,1997,AL,johnsda02m,88,140,10
Mgr of the year,1997,AL,pinielo01m,30,140,3
Mgr of the year,1997,AL,torrejo01m,5,140,0
Mgr of the year,1997,NL,bakerdu01m,110,140,17
Mgr of the year,1997,NL,coxbo01m,6,140,0
Mgr of the year,1997,NL,dierkla01m,34,140,1
Mgr of the year,1997,NL,francte01m,2,140,0
Mgr of the year,1997,NL,lamonge01m,92,140,10
Mgr of the year,1997,NL,leylaji99m,1,140,0
Mgr of the year,1997,NL,valenbo02m,7,140,0
Mgr of the year,1998,AL,collite99m,38,140,2
Mgr of the year,1998,AL,hargrmi01m,8,140,0
Mgr of the year,1998,AL,johnsti01m,4,140,0
Mgr of the year,1998,AL,manueje01m,4,140,0
Mgr of the year,1998,AL,oatesjo01m,11,140,0
Mgr of the year,1998,AL,torrejo01m,128,140,23
Mgr of the year,1998,AL,williji03m,59,140,3
Mgr of the year,1998,NL,bakerdu01m,39,160,6
Mgr of the year,1998,NL,bochybr01m,70,160,5
Mgr of the year,1998,NL,coxbo01m,17,160,0
Mgr of the year,1998,NL,dierkla01m,102,160,16
Mgr of the year,1998,NL,rigglji99m,55,160,5
Mgr of the year,1998,NL,valenbo02m,5,160,0
Mgr of the year,1999,AL,hargrmi01m,13,140,2
Mgr of the year,1999,AL,howear01m,85,140,5
Mgr of the year,1999,AL,oatesjo01m,18,140,1
Mgr of the year,1999,AL,torrejo01m,21,140,0
Mgr of the year,1999,AL,williji03m,115,140,20
Mgr of the year,1999,NL,coxbo01m,98,160,10
Mgr of the year,1999,NL,dierkla01m,48,160,4
Mgr of the year,1999,NL,mckeoja99m,115,160,17
Mgr of the year,1999,NL,showabu99m,17,160,1
Mgr of the year,1999,NL,valenbo02m,10,160,0
Mgr of the year,2000,AL,garneph01m,2,140,0
Mgr of the year,2000,AL,howear01m,74,140,2
Mgr of the year,2000,AL,manueje01m,134,140,25
Mgr of the year,2000,AL,pinielo01m,28,140,1
Mgr of the year,2000,AL,sciosmi01m,8,140,0
Mgr of the year,2000,AL,torrejo01m,5,140,0
Mgr of the year,2000,AL,williji03m,1,140,0
Mgr of the year,2000,NL,aloufe01m,1,160,0
Mgr of the year,2000,NL,bakerdu01m,154,160,30
Mgr of the year,2000,NL,bellbu01m,2,160,0
Mgr of the year,2000,NL,bolesjo99m,15,160,0
Mgr of the year,2000,NL,coxbo01m,41,160,1
Mgr of the year,2000,NL,larusto01m,59,160,1
Mgr of the year,2000,NL,valenbo02m,16,160,0
Mgr of the Year,2001,AL,howear01m,77,140,5
Mgr of the Year,2001,AL,kellyto01m,25,140,1
Mgr of the Year,2001,AL,manuech01m,1,140,0
Mgr of the Year,2001,AL,pinielo01m,128,140,22
Mgr of the Year,2001,AL,sciosmi01m,1,140,0
Mgr of the Year,2001,AL,torrejo01m,8,140,0
Mgr of the Year,2001,AL,williji03m,12,140,0
Mgr of the Year,2001,NL,bakerdu01m,10,160,0
Mgr of the Year,2001,NL,baylodo01m,13,160,0
Mgr of the Year,2001,NL,bowala01m,113,160,18
Mgr of the Year,2001,NL,brenlbo01m,43,160,3
Mgr of the Year,2001,NL,coxbo01m,12,160,2
Mgr of the Year,2001,NL,dierkla01m,21,160,1
Mgr of the Year,2001,NL,larusto01m,38,160,4
Mgr of the Year,2001,NL,tracyji01m,48,160,4
Mgr of the Year,2002,AL,gardero01m,59,140,2
Mgr of the Year,2002,AL,howear01m,74,140,9
Mgr of the Year,2002,AL,sciosmi01m,116,140,17
Mgr of the Year,2002,AL,torrejo01m,3,140,0
Mgr of the Year,2002,NL,bakerdu01m,18,160,1
Mgr of the Year,2002,NL,brenlbo01m,2,160,0
Mgr of the Year,2002,NL,coxbo01m,93,160,9
Mgr of the Year,2002,NL,larusto01m,129,160,22
Mgr of the Year,2002,NL,robinfr02m,23,160,0
Mgr of the Year,2002,NL,tracyji01m,22,160,0
Mgr of the Year,2003,AL,gardero01m,44,140,4
Mgr of the Year,2003,AL,littlgr99m,19,140,0
Mgr of the Year,2003,AL,machake01m,26,140,0
Mgr of the Year,2003,AL,penato01m,130,140,24
Mgr of the Year,2003,AL,pinielo01m,13,140,0
Mgr of the Year,2003,AL,torrejo01m,14,140,0
Mgr of the Year,2003,AL,toscaca99m,3,140,0
Mgr of the Year,2003,AL,trammal01m,1,140,0
Mgr of the Year,2003,AL,wedgeer01m,2,140,0
Mgr of the Year,2003,NL,aloufe01m,51,160,5
Mgr of the Year,2003,NL,bakerdu01m,62,160,2
Mgr of the Year,2003,NL,coxbo01m,56,160,6
Mgr of the Year,2003,NL,mckeoja99m,116,160,19
Mgr of the Year,2003,NL,robinfr02m,3,160,0
Mgr of the year,2004,AL,francte01m,8,140,0
Mgr of the year,2004,AL,gardero01m,91,140,11
Mgr of the year,2004,AL,sciosmi01m,31,140,2
Mgr of the year,2004,AL,showabu99m,101,140,14
Mgr of the year,2004,AL,torrejo01m,18,140,1
Mgr of the year,2004,AL,wedgeer01m,3,140,0
Mgr of the year,2004,NL,aloufe01m,4,160,0
Mgr of the year,2004,NL,bochybr01m,3,160,0
Mgr of the year,2004,NL,coxbo01m,140,160,22
Mgr of the year,2004,NL,garneph01m,27,160,2
Mgr of the year,2004,NL,larusto01m,62,160,4
Mgr of the year,2004,NL,tracyji01m,52,160,4
Mgr of the year,2005,AL,francte01m,4,140,0
Mgr of the year,2005,AL,gibbojo02m,1,140,0
Mgr of the year,2005,AL,guilloz01m,105,140,17
Mgr of the year,2005,AL,machake01m,21,140,1
Mgr of the year,2005,AL,sciosmi01m,7,140,0
Mgr of the year,2005,AL,torrejo01m,43,140,4
Mgr of the year,2005,AL,wedgeer01m,71,140,6
Mgr of the year,2005,NL,bochybr01m,4,160,0
Mgr of the year,2005,NL,coxbo01m,152,160,28
Mgr of the year,2005,NL,garneph01m,38,160,0
Mgr of the year,2005,NL,larusto01m,52,160,2
Mgr of the year,2005,NL,manuech01m,5,160,0
Mgr of the year,2005,NL,randowi01m,1,160,0
Mgr of the year,2005,NL,robinfr02m,29,160,2
Mgr of the year,2005,NL,yostne01m,7,160,0
Mgr of the year,2006,AL,gardero01m,93,140,9
Mgr of the year,2006,AL,leylaji99m,118,140,19
Mgr of the year,2006,AL,machake01m,26,140,0
Mgr of the year,2006,AL,torrejo01m,15,140,0
Mgr of the year,2006,NL,bochybr01m,50,160,5
Mgr of the year,2006,NL,garneph01m,1,160,0
Mgr of the year,2006,NL,girarjo01m,111,160,18
Mgr of the year,2006,NL,littlgr99m,30,160,1
Mgr of the year,2006,NL,manuech01m,9,160,0
Mgr of the year,2006,NL,narroje01m,6,160,0
Mgr of the year,2006,NL,randowi01m,81,160,8
Mgr of the year,2007,AL,francte01m,13,140,0
Mgr of the year,2007,AL,sciosmi01m,62,140,4
Mgr of the year,2007,AL,torrejo01m,61,140,5
Mgr of the year,2007,AL,wedgeer01m,116,140,19
Mgr of the year,2007,NL,actama99m,4,160,0
Mgr of the year,2007,NL,blackbu02m,4,160,0
Mgr of the year,2007,NL,hurdlcl01m,58,160,4
Mgr of the year,2007,NL,manuech01m,76,160,7
Mgr of the year,2007,NL,melvibo01m,119,160,19
Mgr of the year,2007,NL,pinielo01m,25,160,2
Mgr of the year,2007,NL,yostne01m,2,160,0
Mgr of the year,2008,AL,francte01m,6,140,0
Mgr of the year,2008,AL,gardero01m,58,140,1
Mgr of the year,2008,AL,gastoci01m,2,140,0
Mgr of the year,2008,AL,guilloz01m,3,140,0
Mgr of the year,2008,AL,maddojo99m,138,140,27
Mgr of the year,2008,AL,sciosmi01m,45,140,0
Mgr of the year,2008,NL,coopece01m,3,160,0
Mgr of the year,2008,NL,gonzafr99m,48,160,5
Mgr of the year,2008,NL,larusto01m,11,160,1
Mgr of the year,2008,NL,manuech01m,67,160,8
Mgr of the year,2008,NL,manueje01m,10,160,0
Mgr of the year,2008,NL,pinielo01m,103,160,15
Mgr of the year,2008,NL,sveumda01m,1,160,0
Mgr of the year,2008,NL,torrejo01m,45,160,3
Mgr of the year,2009,AL,gardero01m,72,140,6
Mgr of the year,2009,AL,girarjo01m,34,140,4
Mgr of the year,2009,AL,leylaji99m,2,140,0
Mgr of the year,2009,AL,sciosmi01m,106,140,15
Mgr of the year,2009,AL,wakamdo01m,19,140,2
Mgr of the year,2009,AL,washiro01m,19,140,1
Mgr of the year,2009,NL,blackbu02m,2,160,0
Mgr of the year,2009,NL,bochybr01m,18,160,0
Mgr of the year,2009,NL,coxbo01m,15,160,0
Mgr of the year,2009,NL,gonzafr99m,4,160,0
Mgr of the year,2009,NL,larusto01m,55,160,2
Mgr of the year,2009,NL,manuech01m,10,160,0
Mgr of the year,2009,NL,torrejo01m,33,160,1
Mgr of the year,2009,NL,tracyji01m,151,160,29
Mgr of the year,2010,AL,francte01m,13,140,0
Mgr of the year,2010,AL,gardero01m,108,140,16
Mgr of the year,2010,AL,gastoci01m,5,140,1
Mgr of the year,2010,AL,girarjo01m,1,140,0
Mgr of the year,2010,AL,maddojo99m,44,140,1
Mgr of the year,2010,AL,washiro01m,81,140,10
Mgr of the year,2010,NL,bakerdu01m,103,160,13
Mgr of the year,2010,NL,blackbu02m,104,160,16
Mgr of the year,2010,NL,bochybr01m,30,160,1
Mgr of the year,2010,NL,coxbo01m,28,160,1
Mgr of the year,2010,NL,manuech01m,20,160,1
Mgr of the year,2010,NL,millsbr01m,3,160,0
Mgr of the year,2011,AL,maddojo99m,133,140,26
Mgr of the year,2011,AL,leylaji99m,54,140,1
Mgr of the year,2011,AL,washiro01m,31,140,1
Mgr of the year,2011,AL,actama99m,16,140,0
Mgr of the year,2011,AL,girarjo01m,14,140,0
Mgr of the year,2011,AL,sciosmi01m,4,140,0
Mgr of the year,2011,NL,gibsoki01m,152,160,28
Mgr of the year,2011,NL,roeniro01m,92,160,3
Mgr of the year,2011,NL,larusto01m,24,160,1
Mgr of the year,2011,NL,manuech01m,10,160,0
Mgr of the year,2011,NL,gonzafr99m,4,160,0
Mgr of the year,2011,NL,bochybr01m,2,160,0
Mgr of the year,2011,NL,hurdlcl01m,2,160,0
Mgr of the year,2011,NL,collite99m,1,160,0
Mgr of the year,2011,NL,mattido01m,1,160,0
Mgr of the year,2012,AL,melvibo01m,116,140,16
Mgr of the year,2012,AL,showabu99m,108,140,12
Mgr of the year,2012,AL,venturo01m,12,140,0
Mgr of the year,2012,AL,maddojo99m,7,140,0
Mgr of the year,2012,AL,girarjo01m,5,140,0
Mgr of the year,2012,AL,leylaji99m,2,140,0
Mgr of the year,2012,AL,washiro01m,2,140,0
Mgr of the year,2012,NL,johnsda02m,131,160,23
Mgr of the year,2012,NL,bakerdu01m,77,160,5
Mgr of the year,2012,NL,bochybr01m,61,160,4
Mgr of the year,2012,NL,gonzafr99m,17,160,0
Mgr of the year,2012,NL,blackbu02m,1,160,0
Mgr of the year,2012,NL,mathemi01m,1,160,0
